platform,target_type,total_params_million,AUC_mean,AUC_std,AUC_formatted,F1-score_mean,F1-score_std,F1-score_formatted,NDCG_mean,NDCG_std,NDCG_formatted
Books,CTR,0.022,0.8702,0.0012,0.8702±0.0012,0.8619,0.0004,0.8619±0.0004,,,
Electronics,CVR_Classification,0.022,0.6536,0.0006,0.6536±0.0006,0.5896,0.0058,0.5896±0.0058,,,
Clothing,Interaction,0.022,,,,,,,0.8104,0.0134,0.8104±0.0134
